"Date","Average Sentiment (Total)","Negative sentiment (Total)","Positive sentiment (Total)","Weighted sentiment (Total)"
"2020-01-05T00:00:00.000Z","310.30257445573807","-792.6666375398636","1102.9692119956017","6.548936821917517"
"2020-01-06T00:00:00.000Z","516.3394560813904","-701.5707020163536","1217.910158097744","16.542653155160377"
"2020-01-07T00:00:00.000Z","480.15821838378906","-906.6487883329391","1386.8070067167282","-2.8787600624810015"
"2020-01-08T00:00:00.000Z","198.13399040699005","-1050.777311205864","1248.911301612854","1.1214713178551103"
"2020-01-09T00:00:00.000Z","277.27275413274765","-644.0029418468475","921.2756959795952","20.48106099952409"
"2020-01-10T00:00:00.000Z","435.8091456890106","-698.9454632997513","1134.754608988762","6.408127917486617"
"2020-01-11T00:00:00.000Z","559.1697366833687","-585.4170211553574","1144.586757838726","-3.588194853053475"
"2020-01-12T00:00:00.000Z","502.86904269456863","-461.804238319397","964.6732810139656","11.459217726439654"
"2020-01-13T00:00:00.000Z","417.23584800958633","-562.0647192597389","979.3005672693253","10.117487643867825"
"2020-01-14T00:00:00.000Z","514.0788562297821","-991.236903488636","1505.3157597184181","17.256500190429936"
"2020-01-15T00:00:00.000Z","415.84140503406525","-862.2281455397606","1278.0695505738258","0.6652936264441742"
"2020-01-16T00:00:00.000Z","273.73218351602554","-689.149497449398","962.8816809654236","22.29684366286949"
"2020-01-17T00:00:00.000Z","389.99884843826294","-758.164188683033","1148.163037121296","-4.595289725150363"
"2020-01-18T00:00:00.000Z","400.9829311966896","-616.1524850726128","1017.1354162693024","-7.5370142234592015"
"2020-01-19T00:00:00.000Z","352.93182104825974","-912.9191842675209","1265.8510053157806","8.973431497791964"
"2020-01-20T00:00:00.000Z","609.6853044629097","-644.2223730683327","1253.9076775312424","15.371496474704097"
"2020-01-21T00:00:00.000Z","468.2023423910141","-625.1967893838882","1093.3991317749023","-18.497271692033593"
"2020-01-22T00:00:00.000Z","321.5723217725754","-569.6356963515282","891.2080181241035","4.114569022414429"
"2020-01-23T00:00:00.000Z","236.40116727352142","-721.2044081687927","957.6055754423141","3.7138563004010536"
"2020-01-24T00:00:00.000Z","419.37386405467987","-576.5615122914314","995.9353763461113","-17.134786917663874"
"2020-01-25T00:00:00.000Z","327.50659680366516","-474.07242208719254","801.5790188908577","-4.126393817914024"
"2020-01-26T00:00:00.000Z","331.23997688293457","-504.3614258170128","835.6014026999474","-0.08038627097197101"
"2020-01-27T00:00:00.000Z","564.791830599308","-604.3493141531944","1169.1411447525024","11.283289984226005"
"2020-01-28T00:00:00.000Z","422.27487152814865","-786.2037058472633","1208.478577375412","20.604566443018555"
"2020-01-29T00:00:00.000Z","469.3646065592766","-739.3912677764893","1208.7558743357658","-10.467441393893742"
"2020-01-30T00:00:00.000Z","713.3146765828133","-645.1686519384384","1358.4833285212517","26.274370664730267"
"2020-01-31T00:00:00.000Z","449.07723021507263","-511.6850516796112","960.7622818946838","-1.9115938240965082"
"2020-02-01T00:00:00.000Z","291.9673324227333","-460.33699172735214","752.3043241500854","-0.22097739467235075"
"2020-02-02T00:00:00.000Z","674.8746844530106","-623.8101698756218","1298.6848543286324","14.653562719284068"
"2020-02-03T00:00:00.000Z","403.6765629053116","-624.6902768015862","1028.3668397068977","-4.72952161302119"
"2020-02-04T00:00:00.000Z","380.9002283215523","-480.2975010275841","861.1977293491364","-3.094505780581043"
"2020-02-05T00:00:00.000Z","493.07027888298035","-566.8147436976433","1059.8850225806236","19.278423353991172"
"2020-02-06T00:00:00.000Z","336.0110600590706","-579.9309279918671","915.9419880509377","19.899224746688876"
"2020-02-07T00:00:00.000Z","281.81219321489334","-481.0704886317253","762.8826818466187","-6.136574154559024"
"2020-02-08T00:00:00.000Z","314.28176575899124","-665.4604042768478","979.7421700358391","11.71209116795687"
"2020-02-09T00:00:00.000Z","667.9277403950691","-762.7483429312706","1430.6760833263397","-5.5112487160459915"
"2020-02-10T00:00:00.000Z","441.0158723592758","-752.502623975277","1193.5184963345528","-15.20698424570057"
"2020-02-11T00:00:00.000Z","462.06997841596603","-653.121449649334","1115.1914280653","11.021914586131828"
"2020-02-12T00:00:00.000Z","450.6474115848541","-759.7802512049675","1210.4276627898216","14.345498202150102"
"2020-02-13T00:00:00.000Z","517.7103788852692","-882.8088291883469","1400.519208073616","10.325355251647531"
"2020-02-14T00:00:00.000Z","513.6374490261078","-681.7948764562607","1195.4323254823685","-2.1053647993733655"
"2020-02-15T00:00:00.000Z","262.2148447036743","-694.6125108003616","956.827355504036","-9.126679470208888"
"2020-02-16T00:00:00.000Z","215.02305656671524","-739.2144042253494","954.2374607920647","9.067793479399421"
"2020-02-17T00:00:00.000Z","278.93010038137436","-817.8875676393509","1096.8176680207253","-8.919761962924754"
"2020-02-18T00:00:00.000Z","420.07056325674057","-744.9347434043884","1165.005306661129","2.167093097312522"
"2020-02-19T00:00:00.000Z","373.94723588228226","-799.8457454442978","1173.79298132658","-5.0318364489164535"
"2020-02-20T00:00:00.000Z","298.06207782030106","-864.8766625523567","1162.9387403726578","14.70071734100685"
"2020-02-21T00:00:00.000Z","456.1396718621254","-683.6912217736244","1139.8308936357498","10.538425486877495"
"2020-02-22T00:00:00.000Z","398.16623467206955","-522.5573174953461","920.7235521674156","-2.006860639716938"
"2020-02-23T00:00:00.000Z","522.650543153286","-636.7919852733612","1159.4425284266472","6.493206195782022"
"2020-02-24T00:00:00.000Z","310.12663120031357","-936.7282066941261","1246.8548378944397","-6.919890944328332"
